銘柄,株数,金額,売却日
マラソン　デジタル　ホールディングス,3,12443.0,令和5年6月1日
Ｄｉｒｅｘｉｏｎデイリー半導体株ブル３倍,2,9125.0,令和5年6月1日
Ｄｉｒｅｘｉｏｎデイリー半導体株ブル３倍,4,16144.0,令和5年6月1日
ディーローカル,1,2583.0,令和5年6月1日
アップル,4,111795.0,令和5年6月1日
バイオナノ　ジェノミクス,1,173.0,令和5年6月1日
ＤｉｒｅｘｉｏｎデイリーＦＴＳＥ中国株ベ,6,14050.0,令和5年6月1日
Ｄｉｒｅｘｉｏｎデイリーテック株ブル３倍,7,79969.0,令和5年6月1日
バンガード　米国増配株式ＥＴＦ,1,26119.0,令和5年6月2日
大江戸温泉リート投資法人　投資証券,1,73920.0,令和5年6月2日
ニッスイ,100,93300.0,令和5年6月2日
住友化学,100,29900.0,令和5年6月2日
大同特殊鋼,100,168800.0,令和5年6月2日
マーベラス,400,294600.0,令和5年6月2日
日本電信電話,500,91000.0,令和5年6月2日
ニッスイ,200,190000.0,令和5年6月2日
西松屋チェーン,100,215800.0,令和5年6月2日
日本電信電話,100,18210.0,令和5年6月2日
ルシード　グループ　Ａ,12,5448.0,令和5年6月2日
アービュタス　バイオ　ファーマ,8,3500.0,令和5年6月2日
バンガード　米国増配株式ＥＴＦ,6,160345.0,令和5年6月2日
Ｄｉｒｅｘｉｏｎデイリー半導体株ブル３倍,10,60673.0,令和5年6月2日
スカパーＪＳＡＴホールディングス,100,90120.0,令和5年6月2日
グリーンランドリゾート,100,79000.0,令和5年6月2日
Ｄｉｒｅｘｉｏｎ　デイリーＳ＆Ｐ５００ブ,8,145834.0,令和5年6月3日
ナノックス・イメージング,10,17092.0,令和5年6月3日
ペルセウスプロテオミクス,200,80520.0,令和5年6月3日
マーベラス,100,72340.0,令和5年6月3日
アドバンスト　マイクロ　デバイシズ,1,29965.0,令和5年6月3日
アメティス,3,1593.0,令和5年6月3日
Ｄｉｒｅｘｉｏｎデイリー半導体株ブル３倍,15,106522.0,令和5年6月3日
ピクセルカンパニーズ,300,45500.0,令和5年6月3日
ｅｎｉｓｈ,200,60200.0,令和5年6月3日
ヤマシナ,100,8400.0,令和5年6月3日
山陰合同銀行,100,117300.0,令和5年6月3日
フィスカー,10,663.0,令和5年6月3日
デジタル　ワールド　アクイジション　Ａ,7,45646.0,令和5年6月3日
アエリア,100,37300.0,令和5年6月3日
ピアラ,100,32300.0,令和5年6月3日
ウィルソン・ラーニング　ワールドワイド,200,27200.0,令和5年6月3日
ｅｎｉｓｈ,200,52180.0,令和5年6月3日
ファンペップ,300,76200.0,令和5年6月3日
ヤマシナ,500,56400.0,令和5年6月3日
イオン北海道,100,90000.0,令和5年6月3日
文教堂グループホールディングス,1100,51820.0,令和5年6月3日
ディーローカル,4,9917.0,令和5年6月3日
インベスコ　ＱＱＱ　トラスト　シリーズ１,4,259267.0,令和5年6月3日
Ｄｉｒｅｘｉｏｎデイリー半導体株ベア３倍,5,2353.0,令和5年6月3日
三菱ＵＦＪフィナンシャル・グループ,100,162000.0,令和5年6月3日
池田泉州ホールディングス,200,83950.0,令和5年6月3日
バーティブ・ホールディングス,6,62897.0,令和5年6月3日
デジタル　ワールド　アクイジション　Ａ,10,60068.0,令和5年6月3日
Ｄｉｒｅｘｉｏｎ　デイリー　ファング＋,4,67908.0,令和5年6月3日
テイクアンドギヴ・ニーズ,100,108600.0,令和5年6月3日
アップル,2,50614.0,令和5年6月3日
児玉化学工業,100,28500.0,令和5年6月3日
日本精蝋,100,19600.0,令和5年6月3日
文教堂グループホールディングス,100,3780.0,令和5年6月3日
ニッスイ,200,188030.0,令和5年6月3日
三越伊勢丹ホールディングス,100,220150.0,令和5年6月3日
セプテーニ・ホールディングス,100,45940.0,令和5年6月3日
富士製薬工業,100,166610.0,令和5年6月3日
富士石油,200,76570.0,令和5年6月3日
くすりの窓口,100,140800.0,令和5年6月3日
フロイント産業,100,78000.0,令和5年6月3日
ＪＶＣケンウッド,200,178570.0,令和5年6月3日
さくらさくプラス,200,263000.0,令和5年6月3日
さくらさくプラス,100,101610.0,令和5年6月3日
東京電力ホールディングス,100,89730.0,令和5年6月3日
ＰＨＣホールディングス,100,128760.0,令和5年6月3日
アップル,1,26215.0,令和5年6月3日
宮入バルブ製作所,400,52000.0,令和5年6月3日
プレス工業,100,70130.0,令和5年6月3日
明豊エンタープライズ,100,32120.0,令和5年6月3日
ＩＮＰＥＸ,100,228300.0,令和5年6月3日
ツムラ,100,396910.0,令和5年6月3日
楽天グループ,100,86250.0,令和5年6月3日
ＥＮＥＯＳホールディングス,600,439100.0,令和5年6月3日
地盤ネットホールディングス,100,17640.0,令和5年6月3日
宮入バルブ製作所,300,38400.0,令和5年6月3日
本田技研工業,200,389200.0,令和5年6月3日
雪国まいたけ,100,114000.0,令和5年6月3日
日本ゼオン,100,137110.0,令和5年6月3日
エレコム,200,313010.0,令和5年6月3日
やまみ,100,394550.0,令和5年6月3日
市光工業,100,54740.0,令和5年6月3日
ダイキアクシス,100,81030.0,令和5年6月3日
ちゅうぎんフィナンシャルグループ,100,131840.0,令和5年6月3日
タキヒヨー,100,127900.0,令和5年6月3日
住友商事,100,363650.0,令和5年6月4日
Ｍ＆Ａキャピタルパートナーズ,100,226010.0,令和5年6月4日
クックパッド,200,38840.0,令和5年6月4日
レイ,100,48300.0,令和5年6月4日
マツダ,100,180180.0,令和5年6月4日
テンアライド,200,59110.0,令和5年6月4日
セルシス,100,87260.0,令和5年6月4日
くすりの窓口,100,149700.0,令和5年6月4日
ｊｉｇ．ｊｐ,100,35110.0,令和5年6月5日
ワコム,100,71320.0,令和5年6月5日
北洋銀行,100,57260.0,令和5年6月5日
シー,1,10439.0,令和5年6月6日
グローバルＸ　リチウム＆バッテリーＥＴＦ,7,45575.0,令和5年6月6日
Ｄｉｒｅｘｉｏｎデイリー半導体株ブル３倍,3,29732.0,令和5年6月6日
